route name,sector name,grade,ascents,stars
Lance de don pepo,Unknown Crag,7A+,18,4
Si no eres enano te roza...,La fuente,6C,17,4
N.N.,La peninsula,6B+,17,3
Volantins,Cabrerizo,5C,17,3
Joguines,SOL,6A,17,5
Papión,Parking,7C,17,3
N.N.,Colmenas,7A,17,3
El espiritu del vino,Unknown Crag,7A+,17,3
Fuerte a Muerte,Unknown Crag,8A,17,4
Ojos de tortuga,Techos,6B+,17,3
Agüita,Arrastradero,6C,17,3
tec-b44-l3,Techos,6C,17,4
ENA-B1-L10,Entre aguas,5C,17,3
Pan canario,Techos,7A,17,4
El reloj de arena,Unknown Crag,7A,17,3
Circuncision,La fuente,5C,17,2
ARR-B6-L2,Arrastradero,7A+,17,2
TEC-B54-L1,Techos,6A,17,3
El monedero,Valle de la madera,6C,17,5
La que no queráis pa mí,La fuente,4B,17,4
Tma-b12-l5,Tierra media,6B+,17,5
El 4 oscuro,La fuente,4B,17,5
Techo de menos,Unknown Crag,6C,17,3
Esperanza,Unknown Crag,7A+,17,5
ARR-B53-L2,Arrastradero,6B+,17,2
Tec-b17-l3,Techos,6C,17,3
Galimatias,Pinturas,7A+,17,4
El desencadenador,Entre aguas,6C,17,3
Tiro al bidedo,Unknown Crag,7A+,17,4
ENA-B9-L3,Entre aguas,7A,17,3
ARR-B39-L3,Arrastradero,6A+,17,3
Si no eres enano te roza...,La fuente,6C,17,4
tonico efervescente,Unknown Crag,6C+,16,4
control de calidad,Peninsula,7C+,16,3
La cena de los idiotas,Unknown Crag,7A+,16,3
El esquinazo,Unknown Crag,6C+,16,4
Aristronauta,SOL,7A+,16,3
Klem's traverse,Acantilados,7C+,16,4
Fassimil,Cabrerizo,6A,16,3
Monos,Psicokiller,7C+,16,2
el mito personal,Peninsula,8A,16,2
ermitaño,Parking,7A+,16,3
ENA-B7-L4,Entre aguas,6C,16,3
Traversia De Don Pepo,Cabrerizo,7A,16,3
LAF-B3-L12,La fuente,6C,16,3
la lagrima sit,Arrastradero,7A,16,3
arr-b53-l8,Arrastradero,7B,16,2
ARR-B21-L1,Arrastradero,6A,16,4
Osobuco,Techos,7A+,16,2
Dumbo,Cabrerizo,6B+,16,4
Team choped,Techos,7B+,16,3
la garrotxa,Tierra media,7B,16,5
PAR-B17-L7,Parking,6A,16,4
The Wire,Parking,7C,16,5
CAB-B7-L3,Cabrerizo,4A,16,4
Megamantel,Unknown Crag,6C+,16,3
motivos personales,Unknown Crag,7C,16,4
Sepultura,Arrastradero,7C+,16,2
ENA-B11-L1,Entre aguas,6B+,16,3
ARR-B38-L2,Arrastradero,6C,16,3
PAR-B10-L2,Parking,6B+,16,4
N.N.,Mezquita,7A,16,2
The Wire,Parking,7C,16,3
CAB-B7-L3,Cabrerizo,4A,16,4
Megamantel,Unknown Crag,6C+,16,2
Pin pon,La fuente,7A+,15,3
La Quilla,Parking,6C,15,3
El Vengador,Tierra media,7B,15,4
Air Teruel,Tierra media,7A+,15,2
El Cristo,Unknown Crag,7B,15,4
Percebe sin conection,Psicokiller,7B,15,3
los titiriteros,Unknown Crag,7A+,15,1
suicidal mantel,Arrastradero,6C+,15,3
La arista chacalista,Arrastradero,7C,15,2
VDM-B3-L1,Valle de la madera,7A+,15,2
Lance don pepo,Cabrerizo,7A,15,2
JESUSICO DE MI VIDA,Arrastradero,6C+,15,3
TMA-B14-L2,Tierra media,6B,15,3
pinturas buldestres,Unknown Crag,7C+,15,3
el campanario,Techos,7B+,15,4
Arista de los belgas,Unknown Crag,7B,15,4
N.N.,Techos,7A+,15,4
Like a bow,Techos,7A+,15,4
la lengua,Aeroline,6C+,15,3
El camino del exceso,Colmenas,8A,15,5
Guebrantamentes,Techos,7A+,15,3
supermafa tacho,Techos 1,6B,15,4
Laf-B18-L2,La fuente,6C+,15,4
Yuste,Arrastradero,7A+,15,3
campus,Parking,7A,15,3
con el mantel en el bolsillo,Unknown Crag,7A,15,4
Fondo pelvico,Peninsula,7A,15,4
TMA-B30-L1,Tierra media,6A+,15,3
evolution,Unknown Crag,7C,15,2
bindu,Unknown Crag,8A+,15,4
PSI-B1-L5,Psicokiller,6B+,15,3
Que Agustín,Cabrerizo,4A,15,3
TEC-B53-L1,Techos,6A,15,4
ARR-B18-L5,Arrastradero,5C,15,4
TMA-B52-L4,Tierra media,6C,15,2
TEC-B24-L4,Techos,7B,15,4
Saltimbanqui,Unknown Crag,7B,15,2
Pin pon,La fuente,7A+,15,3
La Quilla,Parking,6C,15,4
El Vengador,Tierra media,7B,15,4
